Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.08     11.80     0.01                             void std::__adjust_heap<b2Pair*, long, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, long, long, b2Pair, bool (*)(b2Pair const&, b2Pair const&))
  0.08     11.81     0.01                             void std::__introsort_loop<b2Pair*, long, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, long, bool (*)(b2Pair const&, b2Pair const&))
  0.08     11.82     0.01                             void std::iter_swap<b2Pair*, b2Pair*>(b2Pair*, b2Pair*)
  0.04     11.83     0.01     3453     1.45     1.45  cs251::base_sim_t::step(cs251::settings_t*)
  0.04     11.83     0.01                             debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&)
  0.04     11.84     0.01                             cs251::base_sim_t::pre_solve(b2Contact*, b2Manifold const*)
  0.04     11.84     0.01                             b2Body::GetTransform() const
  0.00     11.84     0.00   376377     0.00     0.00  debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&)
  0.00     11.84     0.00   134927     0.00     0.00  b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*)
  0.00     11.84     0.00   134923     0.00     0.00  b2ContactListener::PreSolve(b2Contact*, b2Manifold const*)
  0.00     11.84     0.00     4004     0.00     0.00  b2ContactListener::BeginContact(b2Contact*)
  0.00     11.84     0.00     3908     0.00     0.00  b2ContactListener::EndContact(b2Contact*)
  0.00     11.84     0.00     3453     0.00     0.00  cs251::base_sim_t::draw_title(int, int, char const*)
  0.00     11.84     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs25110test_indexE
  0.00     11.84     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5cs2519dominos_tC2Ev
  0.00     11.84     0.00        1     0.00     0.00  cs251::base_sim_t::base_sim_t()
  0.00     11.84     0.00        1     0.00     0.00  cs251::dominos_t::dominos_t()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.08% of 11.84 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]      8.1    0.96    0.00                 operator-(b2Vec2 const&, b2Vec2 const&) [1]
-----------------------------------------------
                                                 <spontaneous>
[2]      6.3    0.75    0.00                 b2Mul(b2Transform const&, b2Vec2 const&) [2]
-----------------------------------------------
                                                 <spontaneous>
[3]      6.2    0.73    0.00                 b2Vec2::b2Vec2(float, float) [3]
-----------------------------------------------
                                                 <spontaneous>
[4]      5.6    0.66    0.00                 b2ContactSolver::SolveVelocityConstraints() [4]
-----------------------------------------------
                                                 <spontaneous>
[5]      5.4    0.65    0.00                 operator*(float, b2Vec2 const&) [5]
-----------------------------------------------
                                                 <spontaneous>
[6]      4.2    0.28    0.22                 b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [6]
                0.19    0.00 1857714/1857714     debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [17]
                0.03    0.00   58701/58701       debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [70]
                0.00    0.00    3453/376377      debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [159]
-----------------------------------------------
                                                 <spontaneous>
[7]      3.4    0.40    0.00                 b2Cross(float, b2Vec2 const&) [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      2.8    0.33    0.00                 operator+(b2Vec2 const&, b2Vec2 const&) [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      2.3    0.28    0.00                 b2Vec2::b2Vec2() [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     2.2    0.27    0.00                 b2Dot(b2Vec2 const&, b2Vec2 const&) [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     2.2    0.26    0.00                 b2Min(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     2.2    0.26    0.00                 b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     2.2    0.26    0.00                 b2Cross(b2Vec2 const&, b2Vec2 const&) [13]
-----------------------------------------------
                                                 <spontaneous>
[14]     2.1    0.25    0.00                 b2World::DrawDebugData() [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     1.9    0.23    0.00                 b2Max(b2Vec2 const&, b2Vec2 const&) [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     1.9    0.22    0.00                 float b2Min<float>(float, float) [16]
-----------------------------------------------
                0.19    0.00 1857714/1857714     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [6]
[17]     1.6    0.19    0.00 1857714         debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     1.5    0.18    0.00                 b2Shape::GetType() const [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     1.5    0.18    0.00                 b2ContactSolver::SolvePositionConstraints() [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.5    0.18    0.00                 b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [20]
-----------------------------------------------
                                                 <spontaneous>
[21]     1.4    0.17    0.00                 b2Mul(b2Rot const&, b2Vec2 const&) [21]
-----------------------------------------------
                                                 <spontaneous>
[22]     1.4    0.16    0.00                 b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [22]
-----------------------------------------------
                                                 <spontaneous>
[23]     1.1    0.13    0.00                 b2TestOverlap(b2AABB const&, b2AABB const&) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.9    0.11    0.00                 b2DynamicTree::InsertLeaf(int) [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     0.9    0.11    0.00                 b2World::Solve(b2TimeStep const&) [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.8    0.10    0.00                 b2World::SolveTOI(b2TimeStep const&) [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     0.8    0.09    0.00                 b2Vec2::operator-() const [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.8    0.09    0.00                 b2Fixture::GetType() const [28]
-----------------------------------------------
                                                 <spontaneous>
[29]     0.8    0.09    0.00                 b2PairLessThan(b2Pair const&, b2Pair const&) [29]
-----------------------------------------------
                                                 <spontaneous>
[30]     0.8    0.09    0.00                 b2ContactSolver::InitializeVelocityConstraints() [30]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.8    0.09    0.00                 b2Vec2::operator-=(b2Vec2 const&) [31]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.8    0.09    0.00                 b2Body::IsActive() const [32]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.7    0.09    0.00                 float b2Clamp<float>(float, float, float) [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.7    0.08    0.00                 b2ContactSolver::WarmStart() [34]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.7    0.08    0.00                 b2Fixture::GetShape() [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.6    0.08    0.00                 float b2Max<float>(float, float) [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.6    0.07    0.00                 b2GrowableStack<int, 256>::Push(int const&) [37]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.6    0.07    0.00                 b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.6    0.07    0.00                 b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [39]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.6    0.07    0.00                 b2Fixture::GetNext() [40]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.6    0.07    0.00                 void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const [41]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.6    0.07    0.00                 b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&)) [42]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.6    0.07    0.00                 b2AABB::Combine(b2AABB const&, b2AABB const&) [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.5    0.06    0.00                 b2Cross(b2Vec2 const&, float) [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.5    0.06    0.00                 b2Body::IsAwake() const [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.5    0.06    0.00                 b2AABB::GetPerimeter() const [46]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.5    0.06    0.00                 b2Mat33::Solve22(b2Vec2 const&) const [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.5    0.06    0.00                 b2Fixture::IsSensor() const [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.5    0.06    0.00                 b2Body::GetType() const [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.4    0.05    0.00                 b2DynamicTree::RemoveLeaf(int) [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.4    0.05    0.00                 b2DynamicTree::Balance(int) [51]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.4    0.05    0.00                 b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [52]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.4    0.05    0.00                 b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.4    0.05    0.00                 b2Vec2::operator+=(b2Vec2 const&) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.4    0.05    0.00                 b2TreeNode::IsLeaf() const [55]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.4    0.05    0.00                 void std::__unguarded_linear_insert<b2Pair*, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, bool (*)(b2Pair const&, b2Pair const&)) [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.3    0.04    0.00                 b2GrowableStack<int, 256>::Pop() [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.3    0.04    0.00                 b2Body::Advance(float) [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.3    0.04    0.00                 b2Vec2::SetZero() [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.3    0.04    0.00                 b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.3    0.03    0.00                 b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [61]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.3    0.03    0.00                 b2Mul(b2Mat22 const&, b2Vec2 const&) [62]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.3    0.03    0.00                 b2PulleyJoint::SolveVelocityConstraints(b2SolverData const&) [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.3    0.03    0.00                 b2ContactSolver::StoreImpulses() [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.3    0.03    0.00                 b2Vec2::Set(float, float) [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.3    0.03    0.00                 b2Color::b2Color(float, float, float) [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.3    0.03    0.00                 b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.3    0.03    0.00                 b2Fixture::GetBody() [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.3    0.03    0.00                 void std::swap<b2Pair>(b2Pair&, b2Pair&) [69]
-----------------------------------------------
                0.03    0.00   58701/58701       b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [6]
[70]     0.2    0.03    0.00   58701         debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [70]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.2    0.03    0.00                 b2PulleyJoint::ShiftOrigin(b2Vec2 const&) [71]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.2    0.01    0.02                 cs251::callbacks_t::display_cb() [72]
                0.01    0.00    3453/3453        debug_draw_t::DrawString(int, int, char const*, ...) [98]
                0.01    0.00    3453/3453        cs251::base_sim_t::step(cs251::settings_t*) [148]
                0.00    0.00    3453/3453        cs251::base_sim_t::draw_title(int, int, char const*) [164]
-----------------------------------------------
                                                 <spontaneous>
[73]     0.2    0.02    0.00                 b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&) [73]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.2    0.02    0.00                 b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [74]
-----------------------------------------------
                                                 <spontaneous>
[75]     0.2    0.02    0.00                 void b2BroadPhase::UpdatePairs<b2ContactManager>(b2ContactManager*) [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.2    0.02    0.00                 b2BroadPhase::QueryCallback(int) [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.2    0.02    0.00                 b2ContactManager::AddPair(void*, void*) [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.2    0.02    0.00                 b2ContactManager::Collide() [78]
-----------------------------------------------
                                                 <spontaneous>
[79]     0.2    0.02    0.00                 b2ContactManager::Destroy(b2Contact*) [79]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.2    0.02    0.00                 b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float) [80]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.2    0.02    0.00                 b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.2    0.02    0.00                 b2PositionSolverManifold::b2PositionSolverManifold() [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.2    0.02    0.00                 b2Rot::Set(float) [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.2    0.02    0.00                 b2Rot::b2Rot(float) [84]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.2    0.02    0.00                 b2AABB::b2AABB() [85]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.2    0.02    0.00                 b2Body::GetFixtureList() [86]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.2    0.02    0.00                 b2Body::SynchronizeFixtures() [87]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.2    0.02    0.00                 b2World::ClearForces() [88]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.2    0.02    0.00                 b2World::DrawJoint(b2Joint*) [89]
                0.00    0.00  372924/376377      debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [159]
-----------------------------------------------
                                                 <spontaneous>
[90]     0.2    0.02    0.00                 b2Contact::GetFixtureA() [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.2    0.02    0.00                 b2Contact::Update(b2ContactListener*) [91]
                0.00    0.00  134923/134923      b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [161]
                0.00    0.00    4004/4004        b2ContactListener::BeginContact(b2Contact*) [162]
